Generation,Block,Dish,Lineage,Sex,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
1,1,6,U1,M,3,3,0,1,0,1,4,4
1,1,22,U1,M,3,6,0,0,5,0,0,1
1,1,38,U1,M,4,0,2,5,2,2,1,0
1,1,15,U2,M,2,0,5,1,1,0,1,6
1,1,31,U2,M,1,0,2,1,3,7,0,1
1,1,47,U2,M,1,6,2,1,3,1,1,1
1,1,10,U3,M,0,1,2,1,0,9,0,3
1,1,26,U3,M,4,0,2,1,6,1,2,0
1,1,42,U3,M,0,0,0,1,0,4,3,8
1,1,12,U4,M,1,5,1,0,5,0,1,3
1,1,28,U4,M,3,7,0,1,1,1,3,0
1,1,44,U4,M,3,3,2,0,1,3,2,0
1,2,9,D1,F,1,0,5,1,4,2,0,0
1,2,25,D1,F,4,0,2,1,2,1,4,0
1,2,41,D1,F,0,3,2,1,1,8,0,0
1,2,12,D2,F,1,2,2,2,5,0,1,3
1,2,28,D2,F,5,0,1,4,2,0,0,3
1,2,44,D2,F,3,1,0,1,3,3,4,0
1,2,2,D3,F,0,0,0,3,1,5,4,1
1,2,18,D3,F,0,1,0,1,5,5,0,4
1,2,34,D3,F,0,1,1,5,1,1,3,2
1,2,15,D4,F,2,4,1,0,3,1,4,1
1,2,31,D4,F,2,0,1,1,1,7,2,2
1,2,47,D4,F,1,0,1,0,9,2,1,1
1,2,3,U1,F,1,0,11,1,1,0,0,2
1,2,19,U1,F,2,0,0,3,1,4,5,1
1,2,35,U1,F,11,1,0,1,2,0,0,1
1,2,14,U2,F,3,2,0,8,0,2,0,0
1,2,30,U2,F,1,1,4,0,3,0,2,5
1,2,46,U2,F,0,4,0,4,1,1,2,4
1,2,10,U3,F,0,3,1,0,3,2,1,6
1,2,26,U3,F,2,0,0,1,1,5,5,2
1,2,42,U3,F,2,2,3,0,1,4,2,2
1,2,1,U4,F,2,3,1,0,7,1,2,0
1,2,17,U4,F,2,1,6,3,1,0,0,2
1,2,33,U4,F,0,6,4,0,1,0,2,2
1,2,8,D1,M,2,1,3,3,0,0,7,0
1,2,24,D1,M,3,2,1,4,0,5,1,0
1,2,40,D1,M,7,2,0,4,0,0,0,3
1,2,11,D2,M,4,2,5,0,0,3,2,0
1,2,27,D2,M,2,1,1,2,4,0,5,1
1,2,43,D2,M,6,0,0,2,0,0,2,5
1,2,13,D3,M,4,0,4,0,3,2,0,3
1,2,29,D3,M,2,0,2,0,1,11,0,0
1,2,45,D3,M,1,4,0,0,1,6,1,3
1,2,4,D4,M,0,1,0,3,7,0,3,1
1,2,20,D4,M,0,4,3,5,0,0,4,0
1,2,36,D4,M,0,0,1,0,6,0,1,7
1,2,16,U1,M,4,3,1,6,0,0,0,2
1,2,32,U1,M,4,1,1,0,2,4,1,2
1,2,48,U1,M,1,1,6,1,0,0,1,5
1,2,7,U2,M,3,3,3,0,2,0,3,0
1,2,23,U2,M,1,0,2,7,1,2,1,0
1,2,39,U2,M,1,0,0,2,3,0,6,3
1,2,6,U3,M,0,6,2,0,2,0,5,1
1,2,22,U3,M,0,2,0,0,1,2,8,3
1,2,38,U3,M,0,0,1,1,2,2,6,4
1,2,5,U4,M,0,1,8,1,1,1,0,3
1,2,21,U4,M,2,1,9,1,1,0,1,1
1,2,37,U4,M,2,2,1,1,5,4,1,0
1,3,4,D1,F,1,3,1,4,1,1,2,3
1,3,20,D1,F,0,1,4,1,2,1,2,5
1,3,36,D1,F,1,2,1,0,5,3,0,4
1,3,14,D2,F,0,4,2,6,0,0,3,1
1,3,30,D2,F,0,6,0,4,2,0,3,0
1,3,46,D2,F,1,0,3,3,3,1,5,0
1,3,1,D3,F,2,0,0,0,1,5,4,4
1,3,17,D3,F,3,2,0,2,3,3,1,1
1,3,33,D3,F,0,1,1,0,3,4,6,1
1,3,2,D4,F,3,1,6,0,3,2,0,0
1,3,18,D4,F,0,2,0,3,5,4,1,0
1,3,34,D4,F,2,1,1,3,3,3,1,2
1,3,10,U1,F,2,3,4,4,1,0,0,2
1,3,26,U1,F,2,2,5,0,0,3,3,1
1,3,42,U1,F,0,4,0,2,6,0,2,1
1,3,15,U2,F,1,2,0,5,1,1,3,3
1,3,31,U2,F,2,0,5,0,0,4,0,5
1,3,47,U2,F,4,1,0,6,1,0,1,3
1,3,6,U3,F,7,0,1,0,1,3,1,3
1,3,22,U3,F,3,0,0,2,0,0,5,6
1,3,38,U3,F,2,1,4,0,3,1,4,0
1,3,9,U4,F,1,1,4,0,0,0,7,3
1,3,25,U4,F,1,2,1,0,6,3,3,0
1,3,41,U4,F,1,2,5,3,0,0,3,1
1,3,13,D1,M,3,0,0,5,3,0,5,0
1,3,29,D1,M,2,2,4,0,3,0,5,0
1,3,45,D1,M,0,2,3,1,4,0,2,4
1,3,16,D2,M,3,5,4,0,1,0,3,0
1,3,32,D2,M,0,1,2,3,1,4,0,5
1,3,48,D2,M,1,0,2,1,12,0,0,0
1,3,7,D3,M,2,5,0,0,0,3,1,0
1,3,23,D3,M,4,2,3,0,0,6,1,0
1,3,39,D3,M,9,0,2,0,0,5,0,0
1,3,12,D4,M,1,2,0,6,0,7,0,0
1,3,28,D4,M,1,7,4,0,0,2,2,0
1,3,44,D4,M,3,0,0,1,1,3,2,6
1,3,3,U1,M,0,0,7,0,3,1,1,4
1,3,19,U1,M,0,2,1,0,5,0,7,1
1,3,35,U1,M,3,0,3,5,1,2,0,2
1,3,11,U2,M,0,0,4,0,0,1,0,10
1,3,27,U2,M,4,0,5,1,0,1,3,2
1,3,43,U2,M,4,1,0,2,3,6,0,0
1,3,8,U3,M,1,1,2,0,0,4,6,1
1,3,24,U3,M,0,3,4,3,1,3,1,1
1,3,40,U3,M,4,2,3,3,2,2,0,0
1,3,5,U4,M,4,0,2,2,1,3,0,4
1,3,21,U4,M,0,4,1,3,4,3,1,0
1,3,37,U4,M,9,1,1,0,0,0,0,5
1,4,14,D1,F,5,1,1,1,5,1,1,1
1,4,30,D1,F,0,7,1,3,1,0,3,0
1,4,46,D1,F,3,2,4,0,1,3,2,1
1,4,5,D2,F,1,0,3,1,9,0,0,1
1,4,21,D2,F,1,2,0,4,4,1,0,0
1,4,37,D2,F,2,6,2,2,0,2,0,1
1,4,8,D3,F,2,2,1,0,2,3,2,4
1,4,24,D3,F,3,4,2,0,0,1,0,6
1,4,40,D3,F,0,1,8,0,3,1,3,0
1,4,16,D4,F,0,2,1,1,2,5,4,1
1,4,32,D4,F,1,1,5,2,1,1,5,0
1,4,48,D4,F,1,2,2,1,2,6,0,1
1,4,1,U1,F,1,0,1,6,3,5,0,0
1,4,17,U1,F,3,6,3,1,1,0,1,1
1,4,33,U1,F,3,1,1,2,0,2,5,1
1,4,12,U2,F,2,1,2,3,5,0,2,0
1,4,28,U2,F,4,2,0,0,0,2,8,0
1,4,44,U2,F,3,1,0,0,3,5,1,2
1,4,13,U3,F,1,4,3,1,1,3,0,0
1,4,29,U3,F,3,0,1,3,2,1,2,2
1,4,45,U3,F,2,6,2,1,2,1,1,1
1,4,6,U4,F,4,1,0,6,1,2,2,0
1,4,22,U4,F,6,1,1,1,1,4,1,1
1,4,38,U4,F,2,2,3,1,1,2,1,4
1,4,9,D1,M,1,1,4,4,0,1,4,1
1,4,25,D1,M,4,0,2,1,2,1,3,3
1,4,41,D1,M,0,2,8,0,5,0,0,1
1,4,15,D2,M,3,1,0,4,3,1,3,0
1,4,31,D2,M,0,0,6,2,3,2,1,2
1,4,47,D2,M,0,7,4,0,0,0,3,2
1,4,4,D3,M,0,1,4,0,5,0,0,6
1,4,20,D3,M,0,3,3,0,0,4,1,5
1,4,36,D3,M,0,1,2,0,0,3,2,7
1,4,2,D4,M,3,1,2,2,1,3,0,4
1,4,18,D4,M,2,0,3,4,2,3,1,1
1,4,34,D4,M,0,1,1,2,1,3,2,4
1,4,10,U1,M,4,2,3,2,1,1,0,1
1,4,26,U1,M,2,2,4,2,1,0,3,1
1,4,42,U1,M,2,5,0,1,1,2,5,0
1,4,3,U2,M,2,2,5,2,0,1,2,1
1,4,19,U2,M,2,4,4,3,0,2,0,1
1,4,35,U2,M,0,5,0,1,6,4,0,0
1,4,11,U3,M,5,1,3,0,1,3,0,2
1,4,27,U3,M,5,2,2,0,1,0,2,2
1,4,43,U3,M,1,4,3,2,4,0,2,0
1,4,7,U4,M,6,1,7,1,0,0,1,0
1,4,23,U4,M,1,3,2,1,1,2,4,2
1,4,39,U4,M,4,1,6,0,1,1,2,1
1,5,4,C1,F,1,0,4,6,1,1,1,2
1,5,12,C1,F,0,1,0,2,2,5,1,2
1,5,20,C1,F,0,0,2,2,1,5,3,3
1,5,6,C2,F,2,1,2,9,0,0,1,1
1,5,14,C2,F,3,3,2,1,1,2,0,1
1,5,22,C2,F,5,2,1,2,0,1,2,1
1,5,5,C3,F,2,2,5,2,1,2,1,0
1,5,13,C3,F,1,0,2,7,1,3,1,1
1,5,21,C3,F,0,2,1,1,5,5,0,0
1,5,8,C4,F,4,4,2,1,1,4,0,0
1,5,16,C4,F,1,3,3,1,1,0,6,1
1,5,24,C4,F,7,1,2,0,2,2,2,0
1,5,7,C1,M,3,0,2,1,3,4,2,1
1,5,15,C1,M,0,2,5,2,3,4,0,0
1,5,23,C1,M,4,3,1,0,6,1,1,0
1,5,1,C2,M,0,2,2,3,2,4,1,1
1,5,9,C2,M,2,1,4,0,2,4,0,2
1,5,17,C2,M,5,0,2,3,1,1,0,2
1,5,3,C3,M,1,0,5,3,1,2,4,0
1,5,11,C3,M,0,2,3,3,0,1,1,3
1,5,19,C3,M,3,4,1,0,1,1,3,2
1,5,2,C4,M,0,0,1,0,7,0,4,4
1,5,10,C4,M,1,1,1,1,9,0,1,1
1,5,18,C4,M,1,1,6,2,2,0,1,3
1,6,7,C1,F,1,1,0,4,1,2,5,1
1,6,15,C1,F,0,4,2,0,0,1,4,5
1,6,23,C1,F,2,0,1,7,2,2,0,2
1,6,6,C2,F,0,0,2,6,5,1,1,1
1,6,14,C2,F,1,10,0,2,0,0,0,2
1,6,22,C2,F,7,5,0,1,1,2,0,0
1,6,8,C3,F,1,1,3,0,0,6,4,0
1,6,16,C3,F,6,1,1,3,1,1,0,2
1,6,24,C3,F,3,3,0,1,0,0,7,1
1,6,4,C4,F,2,1,0,0,4,0,3,6
1,6,12,C4,F,3,5,1,1,1,3,0,2
1,6,20,C4,F,0,0,1,7,5,1,1,1
1,6,5,C1,M,7,1,3,1,0,2,1,0
1,6,13,C1,M,1,1,3,0,6,2,0,2
1,6,21,C1,M,0,2,3,6,2,2,1,0
1,6,2,C2,M,2,1,1,1,6,3,2,0
1,6,10,C2,M,1,0,10,0,0,3,0,1
1,6,18,C2,M,0,9,1,0,2,1,2,0
1,6,3,C3,M,1,0,3,0,2,3,3,4
1,6,11,C3,M,0,6,1,2,0,3,3,1
1,6,19,C3,M,1,0,0,4,1,7,3,0
1,6,1,C4,M,2,6,0,1,0,0,5,1
1,6,9,C4,M,1,0,2,10,1,1,0,0
1,6,17,C4,M,1,6,1,1,4,1,2,0
2,1,8,D1,F,2,2,5,2,4,0,0,0
2,1,24,D1,F,3,1,0,2,0,5,1,3
2,1,40,D1,F,1,0,3,6,0,0,6,0
2,1,10,D2,F,3,0,0,0,0,11,0,2
2,1,26,D2,F,1,3,2,1,2,0,3,4
2,1,42,D2,F,0,6,4,5,0,1,0,0
2,1,6,D3,F,1,0,4,5,0,1,3,2
2,1,22,D3,F,0,1,0,0,12,0,0,2
2,1,38,D3,F,2,5,0,2,0,3,3,1
2,1,5,D4,F,1,3,3,1,4,3,0,1
2,1,21,D4,F,0,2,3,3,1,2,3,2
2,1,37,D4,F,0,3,2,0,5,4,1,1
2,1,11,U1,F,2,4,0,4,0,0,3,3
2,1,27,U1,F,1,7,2,1,2,0,0,3
2,1,43,U1,F,1,4,1,0,0,6,2,2
2,1,14,U2,F,2,2,0,0,0,9,3,0
2,1,30,U2,F,0,4,4,3,0,1,2,2
2,1,46,U2,F,2,0,9,2,0,0,1,2
2,1,16,U3,F,3,1,3,1,1,3,2,2
2,1,32,U3,F,3,1,7,2,1,1,0,0
2,1,48,U3,F,2,1,3,2,2,0,3,1
2,1,12,U4,F,0,1,0,7,4,0,0,4
2,1,28,U4,F,0,2,3,1,2,0,5,2
2,1,44,U4,F,4,0,1,2,2,3,1,3
2,1,3,D1,M,7,0,0,0,0,0,4,5
2,1,19,D1,M,4,3,4,0,1,0,4,0
2,1,35,D1,M,3,0,2,6,0,1,1,3
2,1,15,D2,M,1,0,1,12,0,2,0,0
2,1,31,D2,M,1,3,0,1,1,6,4,0
2,1,47,D2,M,1,1,2,8,2,0,2,0
